CountyId,StateId,RegionId,Male,Female,Poverty,ChildPoverty,CarOwnership,PrivateEmploy,SelfEmploy,Unemploy,AvgCommute,PublicEmploy,AvgAge,AvgIncome
19169,19,3,48551,45035,22.7,11.8,72.8,66.3,4.3,5.5,17.6,29.3,50,50438
19171,19,3,8637,8842,11.3,17.3,78.7,75.6,9.6,5.6,22.5,14.4,55,55203
19173,19,3,3136,3077,14.1,17.7,76.8,71,12.4,4.4,20.2,16.2,44,44246
19175,19,3,6015,6560,13.6,19.7,81.2,76.9,9.8,5.4,16.2,13,44,44351
19177,19,3,3799,3633,14.9,25.5,74.1,75.8,9.6,6.6,22.8,13.6,45,45111
19179,19,3,17413,17902,18.6,25.5,79.5,82.3,6,8,17.7,11.5,42,42095
19181,19,3,23326,24216,6.8,9.4,83.6,80.7,5.8,4.8,24.4,13.3,64,64447
19183,19,3,10847,11170,9.3,13.4,77,70.7,9.9,4.2,21.3,19.2,56,56390
19185,19,3,3092,3292,13.3,16.9,76.6,69.8,15.6,4.3,23.8,13.2,43,43358
19187,19,3,19193,18102,15.2,21.4,84.3,78,8.4,8.4,16.1,13.4,42,42408
19189,19,3,5222,5392,9.9,9.9,79,84.3,7.5,6.2,17,7.9,47,47668
19191,19,3,10386,10498,8.1,8.9,65.9,79.9,9.5,3,16,10.3,54,54429
19193,19,3,50448,52082,14.6,19.4,83.3,84.9,4.6,5.2,17.7,10.4,46,46720
19195,19,3,3728,3835,12,12.8,80.9,79,,4.7,19.3,12.2,48,48459
19197,19,3,6446,6490,11.1,15.2,77.8,76.9,,5.7,15,14.6,43,43698
20001,20,3,6441,6640,18,22.5,79.8,72.8,9.1,7,16.3,17.8,38,38698
20003,20,3,3921,3975,17.5,28.6,75.6,68,18.7,5.9,24.9,13.1,40,40696
20005,20,3,7977,8656,19.2,26.3,73.6,80.1,6,7.3,20.8,13.5,43,43581
20007,20,3,2396,2374,10.9,15.6,82.9,70.3,12,3.1,13.5,17.3,51,51811
20009,20,3,13307,14092,15.9,22.6,81.8,76,7.7,6.8,17,16,44,44013
20011,20,3,7324,7488,19.2,28.7,82.6,75.8,5.8,3.3,17.9,18.3,38,38280
20013,20,3,4808,5072,16.4,25.5,79.9,71.3,11.9,4.5,16.6,16.7,43,43724
20015,20,3,33192,32900,10.4,14.8,86.3,77.7,4.7,5.6,-22.5,17.4,58,58897
20017,20,3,1348,1374,13.8,17.9,79.8,73.3,,2.9,22.1,18.6,38,38707
20019,20,3,1804,1716,16.8,27.7,79.3,69.9,11.1,5.1,21.2,18.6,37,37993
20021,20,3,10337,10615,17,26.2,85.2,73.5,8.6,5.8,20.8,17.9,41,41388
20023,20,3,1352,1330,8.1,12.5,73.4,60,15.1,1.9,14.1,23.8,44,-44500
20025,20,3,1055,1090,14.9,21,81.1,60.7,15.6,1.4,16.1,23.7,42,42589
20027,20,3,4145,4276,11.4,19.4,78.8,66.4,11.3,1.9,18.6,21.9,52,52066
20029,20,3,4650,4689,13.5,15.1,78.7,75.5,9,6.8,15.4,15.3,39,39282
20031,20,3,4246,4212,10,14.2,83.7,72,8.6,5.1,20.5,19.3,57,57433
20033,20,3,1020,990,7.2,9.5,77.9,62.7,16.4,5.4,13.2,20.4,45,45288
20035,20,3,18184,17895,,23,79.3,77.8,6,7,18.6,16,43,43860
20037,20,3,19733,19571,22,20,85.2,75.6,5.6,5.6,16.2,18.4,36,36534
20039,20,3,1455,1450,11.2,18.2,74.4,64.9,12.2,3.8,15.4,22.3,40,40657
20041,20,3,9716,9800,10.5,12.5,78.9,72.8,8.6,6.7,22.1,18.3,49,49096
20043,20,3,3992,3867,12.4,20.4,81.1,73.1,7.6,5.8,-18.6,18.1,47,47209
20045,20,3,57490,57477,19,13.8,76.8,71.8,4.7,6,20.4,23.4,50,50939
20047,20,3,1528,1463,11.7,17.9,80.7,69.6,10,2,17.6,19.8,47,47303
20049,20,3,1339,1344,18.3,24.5,71.7,59.2,13.6,5.3,25.3,26.6,36,36458
20051,20,3,14452,14541,15.6,12.7,85.5,74.8,7,4.5,12.7,18,45,45579
20053,20,3,3630,2780,9,7.8,76.8,69.6,9.5,4.3,15.7,20.9,47,-47736
20055,20,3,18884,18249,17,25,77.4,78.3,6,4.6,14.9,15.4,49,49227
20057,20,3,17906,16808,18.2,27.8,79.6,81.6,5.4,6.4,14.5,12.6,50,50777
