CountyId,StateId,RegionId,Male,Female,TotalPop,Poverty,CarOwnership,Unemploy,AvgCommute,AvgIncome,Obesity
13195,13,4,13938,14294,28232,17.1,85.3,8.7,26.8,41912,23
13197,13,4,4394,4345,8739,21.3,82.4,14.3,31.4,36242,29.1
13199,13,4,10185,11112,21297,22.7,80.5,12.8,30.4,35832,31.3
13201,13,4,2837,3099,5936,27.9,84.4,6.5,23.9,33983,40.6
13205,13,4,11990,10992,22982,28.7,73.6,13.5,22.1,31915,40.5
13207,13,4,13536,13379,26915,13.6,85.7,10.5,25.7,48744,12.9
13209,13,4,4553,4415,8968,25.3,85.2,6.7,20.5,34672,35.9
13211,13,4,8530,9370,17900,14.3,85.9,6.9,27.4,51820,19
13213,13,4,19280,20121,39401,20,86.8,11.1,25.6,35539,24.1
13215,13,4,98321,101964,200285,20.5,78.3,11,19.6,42306,29.4
13217,13,4,48786,53859,102645,17.1,82.6,11.8,31.9,49179,23.9
13219,13,4,16817,17583,34400,7.3,85.1,5,24.4,72182,9.1
13221,13,4,7296,7392,14688,15.9,83.9,5.3,28.8,44226,23.6
13223,13,4,72089,75311,147400,12.6,82.9,8.7,37.3,60109,17.2
13225,13,4,13112,13974,27086,21.9,80.6,11.3,21.9,41588,32.1
13227,13,4,14910,14830,29740,11.6,79,8.3,29.6,54123,18.8
13229,13,4,9379,9555,18934,23.7,84.2,8.9,27,40247,31.8
13231,13,4,8730,9082,17812,12.2,84.5,10.4,35,51338,15.9
13233,13,4,20182,21033,41215,21.5,86.5,10.2,25.9,37853,31.6
13235,13,4,4866,6724,11590,19.2,85.4,7.4,21.3,38750,34.6
13237,13,4,10565,10682,21247,16.4,,6.3,25.9,44299,22.7
13239,13,4,1106,1220,2326,24,74.9,11.2,20.7,31487,44.3
13241,13,4,7981,8285,16266,21.6,77.1,7.3,21,35211,32.4
13243,13,4,3732,3583,7315,30.2,68.9,10.4,19.1,28377,52.2
13245,13,4,97446,103845,201291,25.2,81.4,12,20.4,37424,39.9
13247,13,4,41147,45754,86901,16.5,76.4,11.2,31.8,50455,24.2
13249,13,4,2517,2557,5074,23.4,81.5,12.4,26.8,39375,33.3
13251,13,4,6953,7253,14206,25.2,84.4,9.8,30.7,34466,35.9
13253,13,4,4113,4656,8769,18.4,77.9,9.4,21.9,34905,29
13255,13,4,30884,32989,63873,22.7,85.1,12.4,28.5,40246,33
13257,13,4,12352,13268,25620,18.9,83,10.6,21.5,40315,25.3
13259,13,4,3564,2304,5868,38.4,83.2,14.5,28.5,21118,61.6
13261,13,4,14894,16535,31429,33.2,78.9,14.4,20.7,32758,52.7
13263,13,4,3140,3350,6490,20,76.6,10.6,33.4,34078,20.7
13265,13,4,829,892,1721,30,81.7,12.1,28.2,26306,52.6
13267,13,4,14529,10773,25302,29.2,,7.9,26.3,33980,41.7
13269,13,4,4036,4365,8401,28.7,79.7,20.6,28.7,28143,42.3
13271,13,4,9502,6914,16416,28.5,87.5,4.4,21.4,26449,48.5
13273,13,4,4342,4871,9213,36.2,75.9,14.4,24.1,28688,59.5
13275,13,4,21239,23585,44824,23.6,80,10.5,20.4,36641,28.5
13277,13,4,19671,21116,40787,29.2,79,5.8,20.5,37653,42.2
13279,13,4,12743,14467,,24.8,79.2,9.6,20.9,33679,33.4
13281,13,4,5213,5587,10800,18.6,75.2,10,18,37000,30.1
13283,13,4,3296,3466,6762,19.6,75.5,5.4,27.1,38596,31.5
13285,13,4,33189,35678,68867,21.4,85.2,11.9,22,41489,31.1
13287,13,4,4284,4054,8338,25.4,78.9,12.5,23.9,31806,43
13289,13,4,4180,4329,8509,27.7,86.5,6.7,32.2,30468,30.4
13291,13,4,10648,11077,21725,13.5,85.9,13,23.9,40799,19.4
13293,13,4,12701,13827,26528,23.7,79.5,11.1,23.3,35774,36.5
13295,13,4,33760,34525,68285,17.8,86.9,8.4,26.9,41632,22.6
13297,13,4,42055,44146,86201,13.9,,7.9,31,54453,21.1
13299,13,4,17751,17972,,29.2,81.7,7.2,19.2,34909,45.4
13301,13,4,2561,3000,5561,27.1,85,16.4,26.4,29176,42.2
13303,13,4,10467,10318,20785,25.9,82,12.2,21.3,37932,36.7
13305,13,4,15421,14625,30046,20.3,83.9,11.3,22.6,38955,23.5
13307,13,4,1370,1350,2720,22.5,92.3,5.8,27,37063,33.1
13309,13,4,5402,2554,7956,27.2,92.6,10,23.9,27620,37
13311,13,4,13527,14264,27791,19,82.4,6.8,27.4,40888,34.4
13313,13,4,51451,52005,103456,18.8,84.5,10.3,20.3,40596,27.2
13315,13,4,5252,3720,8972,23.1,84.2,6.7,27,32043,28.4
13317,13,4,4729,5262,9991,28.5,81,8.9,24.8,32727,49.7
13319,13,4,4579,4807,9386,17.7,87,7.3,24.1,38485,26.2
